id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,sum
3460,0,0,4,6,0,4.0,4,0,3478
3461,0,0,9,6,0,6.0,6,0,3488
3462,2,0,5,4,0,8.0,6,0,3487
3463,3,0,9,3,0,8.0,0,0,3486
3464,2,0,4,4,0,5.0,8,0,3487
3465,2,0,3,4,0,8.0,4,0,3486
3466,0,0,8,7,0,5.0,8,0,3494
3467,7,0,2,2,0,7.996737263880939,0,1,3479
3468,0,0,7,5,0,5.0,3,0,3488
3469,0,0,7,5,0,9.0,5,0,3495
3470,8,0,1,3,0,5.0,1,0,3490
3471,2,0,9,6,0,14.0,0,0,3502
3472,2,0,4,7,0,15.0,5,0,3505
3473,1,0,4,0,0,12.0,7,0,3497
3474,2,0,7,7,0,8.0,7,0,3505
3475,6,0,3,0,0,4.0,1,1,3490
3476,1,0,8,3,0,14.0,3,0,3505
3477,0,0,8,7,0,12.0,3,0,3507
3478,0,0,5,0,0,9.0,6,0,3498
3479,1,0,9,4,0,7.996737263880939,7,0,3500
3480,11,0,10,4,0,6.0,5,0,3516
3481,0,0,8,7,0,7.0,3,0,3506
3482,2,0,7,5,0,7.0,4,0,3507
3483,3,0,4,3,0,12.0,3,0,3508
3484,2,0,4,6,0,11.0,0,0,3507
3485,0,0,7,3,0,13.0,8,0,3516
3486,2,0,4,5,0,6.0,9,0,3512
3487,10,0,8,4,0,8.0,6,0,3513
3488,1,0,0,7,0,8.0,0,0,3504
3489,3,0,5,6,0,14.0,7,0,3524
3490,0,0,4,4,0,4.0,4,0,3506
3491,4,0,7,5,0,10.0,5,0,3522
3492,3,0,8,6,0,7.996737263880939,4,0,3513
3493,10,0,9,3,0,11.0,6,0,3522
3494,2,0,5,5,0,8.0,5,0,3519
3495,0,0,6,3,0,11.0,4,0,3519
3496,2,0,9,7,0,5.0,3,0,3522
3497,8,0,0,0,0,4.0,0,1,3511
3498,10,0,5,7,0,10.0,3,0,3523
3499,10,0,2,0,0,3.0,0,1,3516
3500,3,0,8,7,0,11.0,7,0,3536
3501,0,0,0,5,0,11.0,7,0,3524
3502,0,0,6,4,0,5.0,5,0,3522
3503,1,0,3,5,0,10.0,5,0,3527
3504,3,0,1,6,0,4.0,0,0,3518
3505,0,0,8,3,0,14.0,9,0,3539
3506,0,0,7,4,0,13.0,7,0,3537
3507,1,0,8,6,0,13.0,5,0,3540
3508,4,0,2,1,0,1.0,2,1,3520
3509,3,0,4,7,0,5.0,9,0,3537
3510,1,0,5,7,0,12.0,5,0,3540
3511,3,0,5,0,0,14.0,4,0,3537
3512,10,0,8,4,0,5.0,7,0,3536
3513,9,0,0,2,0,7.996737263880939,1,1,3527
3514,10,0,2,0,0,3.0,1,1,3531
3515,6,0,3,3,0,1.0,1,1,3531
3516,5,0,0,1,0,2.0,2,1,3528
3517,2,0,5,7,0,14.0,9,0,3554
3518,2,0,8,5,0,13.0,4,0,3550
3519,1,0,7,7,0,4.0,3,0,3541
3520,3,0,7,4,0,15.0,3,0,3552
3521,1,0,6,7,0,7.0,0,0,3542
3522,3,0,9,5,0,6.0,4,0,3549
3523,3,0,6,6,0,6.0,4,0,3548
3524,0,0,4,6,0,13.0,9,0,3556
3525,1,0,4,6,0,7.0,7,0,3550
3526,1,0,0,5,0,12.0,4,0,3548
3527,9,0,0,0,0,0.0,2,1,3540
3528,0,0,4,6,0,3.0,9,0,3550
3529,3,0,4,0,0,6.0,6,0,3548
3530,7,0,0,0,0,0.0,1,1,3540
3531,2,0,0,7,0,8.0,5,0,3553
3532,6,0,0,1,0,1.0,0,1,3542
3533,0,0,7,4,0,8.0,5,0,3557
3534,2,0,5,7,0,9.0,4,0,3561
3535,5,0,0,2,0,3.0,1,1,3548
3536,4,0,7,6,0,12.0,10,0,3575
3537,11,0,2,1,0,1.0,0,1,3554
3538,2,0,5,7,0,13.0,4,0,3569
3539,3,0,8,7,0,15.0,5,0,3577
3540,5,0,3,0,0,4.0,1,1,3555
3541,6,0,3,2,0,7.996737263880939,1,1,3555
3542,9,0,0,0,0,5.0,0,1,3558
3543,1,0,5,0,0,13.0,3,0,3565
3544,2,0,4,6,0,9.0,8,0,3573
3545,10,0,4,4,0,12.0,4,0,3569
3546,6,0,0,0,0,4.0,2,0,3558
3547,10,0,1,0,0,4.0,0,1,3564
3548,3,0,8,7,0,5.0,9,0,3580
3549,2,0,4,6,0,12.0,3,0,3576
3550,4,0,3,1,0,0.0,1,1,3561
3551,9,0,2,0,0,7.996737263880939,0,1,3564
3552,3,0,6,4,0,11.0,0,0,3576
3553,2,0,6,3,0,12.0,0,0,3576
3554,1,0,7,7,0,13.0,9,0,3591
3555,2,0,9,3,0,8.0,10,0,3587
3556,4,0,1,1,0,7.996737263880939,0,1,3564
3557,3,0,8,3,0,11.0,8,0,3590
3558,2,0,7,7,0,14.0,10,1,3598
3559,1,0,9,7,0,13.0,5,0,3594
3560,5,0,0,2,0,2.0,2,1,3573
3561,1,0,0,3,0,7.996737263880939,4,0,3569
3562,4,0,0,0,0,4.0,1,1,3573
3563,3,0,8,4,0,5.0,6,0,3589
3564,4,0,4,5,0,1.0,6,0,3584
3565,7,0,1,0,0,1.0,0,0,3576
3566,1,0,9,6,0,9.0,6,0,3597
3567,10,0,4,0,0,11.0,9,0,3591
3568,0,0,5,0,0,15.0,8,0,3596
3569,4,0,9,7,0,7.0,8,0,3604
3570,7,0,1,0,0,1.0,0,1,3581
3571,2,0,7,7,0,13.0,4,0,3604
3572,2,0,4,6,0,14.0,9,0,3607
3573,3,0,6,4,0,9.0,4,0,3599
3574,4,0,3,2,0,4.0,2,1,3591
3575,3,0,7,7,0,8.0,4,0,3604
3576,1,0,4,3,0,7.0,5,0,3596
3577,3,0,0,3,0,10.0,0,0,3593
3578,1,0,7,7,0,8.0,7,0,3608
3579,6,0,0,0,0,1.0,2,1,3589
3580,3,0,5,3,0,7.996737263880939,3,0,3594
3581,3,0,7,5,0,8.0,7,0,3611
3582,2,0,7,7,0,8.0,6,0,3612
3583,11,0,1,1,0,3.0,0,1,3600
3584,0,0,5,4,0,4.0,3,0,3600
3585,9,0,8,4,0,7.0,0,0,3613
3586,2,0,5,6,0,7.0,6,0,3612
3587,6,0,2,1,0,7.0,0,1,3605
3588,5,0,2,3,0,2.0,1,1,3603
3589,1,0,0,5,0,10.0,8,0,3613
3590,1,0,0,6,0,12.0,0,0,3609
3591,1,0,0,6,0,10.0,8,0,3616
3592,1,0,9,0,0,9.0,7,0,3618
3593,11,0,1,2,0,7.996737263880939,1,1,3610
3594,4,0,0,2,0,5.0,2,1,3608
3595,6,0,0,3,0,0.0,3,1,3609
3596,8,0,0,0,0,1.0,2,1,3609
3597,4,0,4,3,0,7.0,7,0,3622
3598,3,0,8,6,0,4.0,4,0,3623
3599,1,0,8,4,0,6.0,8,0,3626
3600,10,0,0,2,0,1.0,2,1,3616
3601,11,0,0,2,0,1.0,0,1,3616
3602,3,0,8,5,0,15.0,4,0,3637
3603,1,0,8,6,0,8.0,5,0,3631
3604,2,0,9,0,0,12.0,7,0,3634
3605,7,0,2,1,0,5.0,3,1,3625
3606,9,0,1,1,0,2.0,2,1,3621
3607,2,0,9,4,0,11.0,9,0,3642
3608,4,0,7,0,0,11.0,8,0,3638
3609,0,0,6,5,0,15.0,10,0,3645
3610,9,0,2,1,0,2.0,0,1,3626
3611,1,0,7,5,0,15.0,5,0,3644
3612,2,0,5,5,0,12.0,9,0,3645
3613,2,0,4,7,0,7.0,6,0,3639
3614,0,0,6,3,0,13.0,5,0,3641
3615,7,0,2,1,0,4.0,0,1,3631
3616,1,0,7,7,0,13.0,3,0,3647
3617,0,0,5,5,0,7.0,6,0,3640
3618,7,0,0,1,0,0.0,3,1,3631
3619,3,0,4,5,0,8.0,0,0,3639
3620,1,0,4,3,0,15.0,9,0,3652
3621,2,0,8,7,0,11.0,5,1,3654
3622,3,0,6,3,0,10.0,4,0,3648
3623,0,0,6,6,0,9.0,3,0,3647
3624,11,0,0,3,0,3.0,3,1,3646
3625,2,0,6,0,0,7.0,8,0,3648
3626,1,0,6,5,0,9.0,6,0,3653
3627,11,0,1,0,0,1.0,2,1,3644
3628,0,0,4,3,0,9.0,6,0,3650
3629,2,0,6,3,0,12.0,6,0,3658
3630,1,0,0,5,0,6.0,8,0,3650
3631,4,0,0,2,0,7.996737263880939,1,1,3640
3632,1,0,8,4,0,15.0,7,0,3667
3633,1,0,3,4,0,6.0,5,0,3652
3634,4,0,9,7,0,14.0,9,0,3677
3635,10,0,8,6,0,6.0,9,0,3664
3636,5,0,1,0,0,4.0,4,1,3652
3637,10,0,6,7,0,5.0,9,0,3664
3638,0,0,5,7,0,14.0,0,0,3664
3639,3,0,10,3,0,8.0,9,0,3672
3640,4,0,7,7,0,7.0,10,0,3675
3641,1,0,4,6,0,11.0,8,0,3671
3642,7,0,0,0,0,4.0,1,0,3656
3643,1,0,7,4,0,7.996737263880939,9,0,3664
3644,10,0,6,6,0,8.0,5,0,3669
3645,2,0,5,6,0,6.0,3,0,3667
3646,3,0,8,5,0,5.0,8,0,3675
3647,5,0,2,2,0,0.0,0,1,3657
3648,4,0,0,0,0,0.0,2,1,3656
3649,11,0,2,1,0,1.0,3,1,3669
3650,0,0,7,3,0,15.0,6,0,3681
3651,2,0,6,4,0,10.0,9,0,3682
3652,0,0,8,6,0,6.0,8,0,3680
3653,1,0,6,6,0,13.0,8,0,3687
3654,0,0,3,7,0,15.0,8,0,3687
3655,10,0,1,0,0,4.0,2,1,3674
3656,11,0,0,2,0,2.0,2,1,3675
3657,10,0,7,6,0,15.0,10,1,3695
3658,0,0,4,4,0,9.0,8,0,3683
3659,1,0,4,0,0,14.0,3,0,3681
3660,3,0,9,5,0,4.0,6,0,3687
3661,2,0,4,6,0,5.0,7,0,3685
3662,7,0,1,0,0,2.0,0,1,3674
3663,0,0,9,3,0,12.0,7,0,3694
3664,1,0,7,7,0,5.0,8,0,3692
3665,4,0,1,1,0,0.0,2,1,3675
3666,0,0,4,4,0,12.0,7,0,3693
3667,2,0,5,4,0,9.0,8,0,3695
3668,1,0,7,4,0,15.0,7,0,3702
3669,1,0,4,6,0,14.0,4,0,3698
3670,5,0,3,0,0,7.996737263880939,3,0,3683
3671,0,0,6,7,0,9.0,3,0,3696
3672,1,0,9,7,0,14.0,6,0,3709
3673,10,0,1,3,0,3.0,3,1,3695
3674,4,0,7,3,0,7.0,7,0,3702
3675,0,0,7,4,0,10.0,0,0,3696
3676,0,0,4,5,0,8.0,4,0,3697
3677,0,0,0,5,0,12.0,7,0,3701
3678,0,0,8,5,0,11.0,3,0,3705
3679,1,0,8,4,0,10.0,9,0,3711
3680,1,0,3,7,0,7.0,3,1,3701
3681,1,0,5,7,0,15.0,3,0,3712
3682,3,0,0,4,0,10.0,7,1,3706
3683,10,0,2,0,0,3.0,2,1,3702
3684,3,0,5,3,0,7.996737263880939,10,0,3705
3685,10,0,7,4,0,8.0,4,0,3708
3686,3,0,5,5,0,14.0,4,0,3717
3687,4,0,1,2,0,4.0,0,1,3699
3688,1,0,3,5,0,4.0,6,0,3707
3689,2,0,9,5,0,10.0,9,0,3724
3690,3,0,4,0,0,12.0,6,0,3715
3691,10,0,6,5,0,15.0,4,0,3721
3692,9,0,3,0,0,1.0,1,1,3708
3693,4,0,2,0,0,5.0,3,0,3709
3694,10,0,2,0,0,5.0,0,1,3712
3695,3,0,8,3,0,5.0,3,0,3717
3696,10,0,4,7,0,12.0,5,0,3724
3697,1,0,9,7,0,11.0,7,1,3732
3698,1,0,7,3,0,5.0,7,0,3721
3699,0,0,10,5,0,15.0,3,0,3732
3700,9,0,3,2,0,4.0,2,0,3720
3701,4,0,2,2,0,5.0,2,1,3718
3702,1,0,5,3,0,7.996737263880939,3,0,3714
3703,2,0,4,7,0,8.0,5,0,3729
3704,0,0,6,0,0,7.0,5,0,3722
3705,3,0,6,7,0,8.0,7,0,3736
3706,0,0,9,3,0,5.0,3,0,3726
3707,1,0,0,4,0,10.0,5,0,3727
3708,9,0,2,0,0,7.996737263880939,0,1,3721
3709,1,0,9,7,0,6.0,7,0,3739
3710,10,0,8,7,0,6.0,0,1,3731
3711,4,0,7,7,0,13.0,7,0,3749
3712,2,0,0,4,0,8.0,8,0,3734
3713,1,0,4,5,0,12.0,3,0,3738
3714,10,0,5,5,0,11.0,0,0,3735
3715,3,0,6,4,0,11.0,4,0,3743
3716,2,0,3,6,0,7.0,4,0,3738
3717,4,0,5,7,0,9.0,9,0,3751
3718,2,0,9,6,0,12.0,4,0,3751
3719,1,0,9,5,0,7.996737263880939,3,0,3737
3720,3,0,5,5,0,5.0,6,0,3744
3721,2,0,4,6,0,8.0,7,0,3748
3722,8,0,1,2,0,2.0,2,1,3739
3723,0,0,0,6,0,12.0,7,0,3748
3724,3,0,10,4,0,12.0,8,0,3761
3725,0,0,5,6,0,4.0,5,0,3745
3726,11,0,2,0,0,2.0,2,1,3744
3727,2,0,6,5,0,15.0,6,0,3761
3728,1,0,5,3,0,8.0,7,0,3752
3729,3,0,4,6,0,7.996737263880939,6,0,3748
3730,1,0,6,4,0,10.0,4,0,3755
3731,8,0,0,2,0,2.0,3,1,3748
3732,3,0,5,4,0,6.0,6,0,3756
3733,2,0,4,7,0,13.0,9,0,3768
3734,0,0,5,4,0,6.0,6,0,3755
3735,0,0,8,6,0,7.996737263880939,6,0,3755
3736,0,0,9,6,0,12.0,10,0,3773
3737,11,0,3,2,0,1.0,0,1,3756
3738,3,0,7,7,0,10.0,9,0,3774
3739,10,0,1,0,0,1.0,1,1,3744
3740,4,0,7,6,0,4.0,6,0,3767
3741,3,0,6,5,0,8.0,3,0,3766
3742,3,0,4,0,0,8.0,0,0,3757
3743,11,0,1,3,0,4.0,3,0,3767
3744,10,0,8,6,0,8.0,5,0,3771
3745,3,0,9,4,0,12.0,10,0,3783
3746,2,0,8,0,0,8.0,10,0,3774
3747,5,0,3,1,0,5.0,0,1,3763
3748,1,0,5,3,0,11.0,6,0,3774
3749,0,0,9,3,0,10.0,5,0,3776
3750,9,0,0,1,0,3.0,1,1,3766
3751,2,0,5,3,0,11.0,4,0,3776
3752,0,0,9,5,0,7.996737263880939,4,0,3770
3753,2,0,4,3,0,11.0,3,0,3776
3754,0,0,4,5,0,7.0,3,0,3773
3755,0,0,8,5,0,8.0,5,0,3781
3756,9,0,2,1,0,1.0,0,1,3770
3757,10,0,2,2,0,5.0,1,1,3769
3758,1,0,4,5,0,5.0,0,0,3773
3759,3,0,10,0,0,11.0,9,0,3792
3760,10,0,3,5,0,3.0,2,0,3773
3761,10,0,0,2,0,10.0,2,1,3787
3762,0,0,9,5,0,6.0,6,0,3788
3763,3,0,4,7,0,13.0,4,0,3794
3764,1,0,0,5,0,12.0,9,0,3791
3765,1,0,4,6,0,4.0,3,0,3783
3766,0,0,9,0,0,5.0,4,0,3784
3767,2,0,7,6,0,7.996737263880939,3,0,3785
3768,1,0,5,6,0,3.0,4,0,3787
3769,2,0,4,5,0,8.0,4,0,3792
3770,1,0,0,6,0,13.0,3,0,3793
3771,1,0,8,5,0,6.0,3,0,3794
3772,4,0,2,5,0,1.0,3,1,3789
3773,10,0,3,3,0,15.0,5,0,3799
3774,2,0,5,5,0,7.0,9,0,3802
3775,3,0,3,0,0,3.0,1,1,3787
3776,0,0,8,6,0,9.0,8,0,3807
3777,0,0,5,4,0,9.0,6,0,3801
3778,5,0,3,0,0,5.0,2,1,3794
3779,3,0,8,3,0,13.0,7,0,3813
3780,1,0,6,7,0,7.0,5,0,3806
3781,3,0,5,6,0,4.0,8,0,3807
3782,7,0,1,2,0,2.0,1,1,3796
3783,1,0,9,7,0,12.0,9,0,3821
3784,0,0,6,7,0,7.0,9,0,3813
3785,6,0,1,0,0,2.0,1,1,3797
3786,4,0,7,6,0,5.0,3,0,3811
3787,3,0,6,5,0,6.0,3,0,3810
3788,0,0,0,1,0,0.0,3,1,3794
3789,8,0,3,2,0,1.0,0,1,3805
3790,10,0,4,6,0,14.0,5,0,3819
3791,0,0,4,5,0,6.0,4,0,3810
3792,3,0,4,6,0,6.0,3,0,3814
3793,9,0,0,0,0,3.0,1,1,3808
3794,0,0,4,3,0,11.0,5,0,3817
3795,1,0,9,5,0,15.0,7,0,3832
3796,0,0,7,4,0,7.996737263880939,7,0,3814
3797,0,0,6,5,0,9.0,0,0,3817
3798,2,0,4,3,0,5.0,8,0,3820
3799,0,0,4,5,0,7.0,3,0,3818
3800,0,0,6,6,0,9.0,10,0,3831
3801,0,0,4,4,0,5.0,5,0,3819
3802,4,0,2,1,0,4.0,0,1,3815
3803,2,0,0,4,0,11.0,10,0,3830
3804,9,0,2,0,0,2.0,2,1,3821
3805,10,0,7,4,0,7.0,7,0,3830
3806,1,0,9,6,0,6.0,0,0,3828
3807,4,0,0,0,0,0.0,1,1,3814
3808,3,0,7,3,0,7.0,0,0,3828
3809,3,0,0,4,0,8.0,7,0,3831
3810,7,0,1,1,0,7.996737263880939,2,0,3823
3811,9,0,2,0,0,10.0,2,1,3836
3812,0,0,8,3,0,9.0,5,0,3837
3813,3,0,6,6,0,7.0,3,0,3838
3814,3,0,9,7,0,9.0,5,0,3847
3815,2,0,6,3,0,15.0,6,0,3847
3816,2,0,6,3,0,8.0,9,0,3844
3817,1,0,4,4,0,9.0,3,0,3838
3818,8,0,0,0,0,5.0,1,1,3834
3819,1,0,5,7,0,14.0,6,0,3852
3820,2,0,6,5,0,14.0,5,0,3852
3821,1,0,8,5,0,10.0,0,0,3845
3822,0,0,9,6,0,8.0,5,0,3850
3823,0,0,8,3,0,7.0,6,0,3847
3824,3,0,7,3,0,5.0,7,0,3849
3825,2,0,5,3,0,12.0,8,0,3855
3826,2,0,4,5,0,4.0,3,0,3844
3827,2,0,8,5,0,9.0,0,1,3851
3828,10,0,1,3,0,5.0,3,1,3842
3829,3,0,4,0,0,10.0,6,0,3852
3830,1,0,9,4,0,15.0,7,0,3866
3831,11,0,3,0,0,2.0,0,1,3848
3832,3,0,5,4,0,9.0,10,0,3863
3833,0,0,8,3,0,9.0,8,1,3861
3834,2,0,5,7,0,13.0,7,0,3868
3835,2,0,5,5,0,11.0,6,0,3864
3836,2,0,5,4,0,8.0,4,0,3859
3837,2,0,8,5,0,7.0,10,0,3869
3838,3,0,0,3,0,12.0,4,0,3860
3839,0,0,6,3,0,11.0,6,0,3865
3840,2,0,4,7,0,15.0,4,1,3872
3841,11,0,3,0,0,7.996737263880939,2,1,3859
3842,11,0,2,1,0,4.0,0,1,3861
3843,7,0,1,0,0,2.0,0,1,3854
3844,0,0,8,3,0,10.0,8,0,3873
3845,0,0,7,4,0,3.0,7,0,3866
3846,4,0,10,6,0,5.0,10,0,3881
3847,1,0,4,6,0,14.0,9,0,3881
3848,2,0,5,3,0,7.0,3,0,3868
3849,11,0,0,2,0,2.0,1,1,3866
3850,1,0,4,4,0,4.0,3,0,3866
3851,1,0,6,6,0,13.0,6,0,3883
3852,0,0,4,6,0,10.0,9,0,3881
3853,3,0,0,5,0,10.0,3,0,3874
3854,3,0,0,0,0,11.0,3,0,3871
3855,8,0,3,4,0,2.0,1,0,3875
3856,1,0,6,6,0,13.0,3,0,3885
3857,0,0,5,3,0,13.0,9,0,3887
3858,3,0,4,5,0,12.0,0,0,3882
3859,10,0,6,6,0,6.0,0,1,3877
3860,0,0,3,5,0,8.0,5,0,3881
3861,0,0,9,6,0,9.0,7,0,3892
3862,3,0,5,4,0,11.0,5,0,3890
3863,1,0,6,4,0,3.0,7,1,3884
3864,2,0,0,4,0,10.0,4,0,3884
3865,1,0,4,7,0,9.0,9,0,3895
3866,1,0,7,6,0,15.0,7,0,3902
3867,0,0,5,5,0,5.0,8,0,3890
3868,0,0,6,6,0,13.0,8,0,3901
3869,5,0,2,0,0,5.0,1,1,3883
3870,5,0,1,0,0,4.0,0,1,3882
3871,10,0,9,5,0,9.0,3,0,3897
3872,3,0,8,6,0,5.0,4,0,3898
3873,2,0,8,6,0,12.0,5,0,3906
3874,1,0,8,7,0,15.0,5,0,3910
3875,1,0,10,4,0,12.0,5,0,3907
3876,2,0,4,0,0,10.0,9,0,3901
3877,3,0,8,5,0,7.0,4,0,3904
3878,1,0,8,0,0,11.0,6,0,3904
3879,1,0,7,0,0,11.0,5,0,3903
3880,4,0,0,2,0,3.0,0,1,3890
3881,0,0,8,3,0,10.0,3,0,3905
3882,3,0,8,6,0,12.0,8,0,3919
3883,10,0,0,0,0,2.0,0,1,3887
3884,3,0,7,5,0,9.0,9,0,3917
3885,0,0,6,7,0,5.0,3,0,3906
3886,2,0,8,6,0,3.0,8,0,3913
3887,1,0,5,7,0,8.0,8,0,3916
3888,0,0,4,7,0,12.0,9,0,3920
3889,2,0,5,3,0,7.0,0,0,3906
3890,1,0,5,0,0,10.0,8,0,3914
3891,5,0,1,2,0,1.0,0,1,3901
3892,7,0,3,0,0,1.0,0,1,3904
3893,0,0,0,5,0,11.0,5,0,3914
3894,5,0,3,2,0,5.0,2,1,3912
3895,2,0,9,7,0,8.0,8,0,3929
3896,10,0,4,6,0,9.0,3,1,3918
3897,10,0,8,5,0,13.0,4,0,3927
3898,3,0,7,4,0,10.0,6,0,3928
3899,1,0,5,7,0,8.0,9,0,3929
3900,3,0,8,0,0,15.0,4,0,3930
3901,1,0,7,6,0,7.0,3,0,3925
3902,4,0,2,2,0,4.0,2,1,3917
3903,2,0,10,5,0,9.0,3,0,3932
3904,0,0,5,7,0,11.0,6,0,3933
3905,4,0,7,0,0,8.0,6,0,3930
3906,2,0,0,4,0,7.0,6,0,3925
3907,2,0,9,6,0,8.0,4,0,3936
3908,3,0,6,7,0,10.0,5,0,3939
3909,9,0,3,2,0,2.0,0,1,3926
3910,2,0,8,7,0,6.0,7,0,3940
3911,1,0,4,3,0,5.0,9,0,3933
3912,4,0,2,0,0,7.996737263880939,2,1,3922
3913,2,0,6,6,0,7.996737263880939,5,0,3932
3914,11,0,1,2,0,2.0,2,1,3933
3915,3,0,6,7,0,15.0,0,0,3946
3916,2,0,4,6,0,8.0,0,0,3936
3917,2,0,5,4,0,14.0,4,0,3946
3918,2,0,5,5,0,5.0,5,0,3940
3919,2,0,5,5,0,8.0,8,0,3947
3920,2,0,5,6,0,6.0,10,0,3949
3921,0,0,4,5,0,10.0,7,0,3947
3922,10,0,1,0,0,4.0,0,1,3939
3923,2,0,10,7,0,14.0,6,0,3962
3924,2,0,7,0,0,12.0,9,0,3954
3925,1,0,8,0,0,15.0,9,0,3958
3926,4,0,2,0,0,2.0,0,1,3936
3927,3,0,9,4,0,15.0,8,0,3966
3928,2,0,9,3,0,12.0,0,0,3954
3929,0,0,6,0,0,9.0,9,0,3953
3930,3,0,5,5,0,5.0,7,0,3955
3931,5,0,0,1,0,4.0,0,1,3943
3932,1,0,4,3,0,4.0,3,0,3947
3933,2,0,9,7,0,8.0,6,0,3965
3934,0,0,8,0,0,9.0,5,0,3956
3935,0,0,5,7,0,9.0,9,0,3965
3936,10,0,0,0,0,1.0,0,1,3938
3937,2,0,6,5,0,8.0,4,0,3962
3938,2,0,9,3,0,15.0,9,0,3976
3939,8,0,1,0,0,3.0,2,1,3955
3940,2,0,7,6,0,10.0,6,0,3971
3941,3,0,9,4,0,9.0,5,0,3971
3942,6,0,0,0,0,1.0,0,1,3950
3943,0,0,5,5,0,7.0,10,0,3970
3944,3,0,7,4,0,13.0,10,0,3981
3945,11,0,0,0,0,7.996737263880939,1,1,3959
3946,0,0,0,7,0,6.0,9,0,3968
3947,0,0,6,4,0,11.0,3,0,3971
3948,7,0,0,0,0,2.0,2,1,3961
3949,10,0,1,0,0,3.0,2,1,3966
3950,2,0,6,0,0,10.0,4,0,3972
3951,3,0,7,6,0,11.0,6,0,3984
3952,2,0,6,0,0,10.0,6,0,3976
3953,9,0,1,1,0,7.996737263880939,0,1,3966
3954,3,0,7,4,0,5.0,4,0,3977
3955,2,0,7,6,0,7.0,7,0,3984
3956,10,0,5,4,0,14.0,5,0,3984
3957,4,0,9,6,0,10.0,8,0,3994
3958,2,0,8,6,0,7.0,6,0,3987
3959,7,0,2,2,0,5.0,1,1,3978
3960,3,0,4,5,0,14.0,6,0,3992
3961,1,0,6,5,0,5.0,6,0,3984
3962,0,0,7,4,0,14.0,6,0,3993
3963,5,0,2,0,0,2.0,1,1,3974
3964,2,0,8,4,0,15.0,3,0,3996
3965,10,0,1,2,0,3.0,1,1,3983
3966,2,0,8,3,0,13.0,9,0,4001
3967,10,0,0,2,0,2.0,1,1,3983
3968,2,0,8,7,0,7.0,6,0,3998
3969,0,0,7,4,0,9.0,3,0,3992
3970,8,0,0,2,0,1.0,0,1,3982
3971,3,0,9,5,0,6.0,8,0,4002
3972,0,0,5,0,0,5.0,6,0,3988
3973,1,0,5,3,0,12.0,6,0,4000
3974,3,0,8,6,0,9.0,9,0,4009
3975,0,0,4,5,0,4.0,4,0,3992
3976,0,0,8,6,0,8.0,8,0,4006
3977,2,0,7,3,0,13.0,9,0,4011
3978,4,0,2,0,0,1.0,0,1,3987
3979,1,0,9,4,0,5.0,4,0,4002
3980,1,0,9,0,0,12.0,7,0,4009
3981,10,0,7,3,0,12.0,5,0,4008
3982,1,0,6,4,0,12.0,5,0,4010
3983,2,0,10,7,0,11.0,6,0,4019
3984,10,0,1,0,0,0.0,0,1,3987
3985,0,0,9,5,0,14.0,7,0,4020
3986,0,0,7,6,0,7.0,10,0,4016
3987,0,0,5,6,0,15.0,5,0,4018
3988,2,0,8,0,0,11.0,0,0,4009
3989,2,0,6,7,0,11.0,4,0,4019
3990,2,0,8,3,0,9.0,10,0,4022
3991,4,0,3,0,0,4.0,2,1,4006
3992,0,0,7,3,0,5.0,5,0,4012
3993,1,0,0,4,0,10.0,9,0,4017
3994,2,0,3,3,0,10.0,6,0,4018
3995,0,0,5,3,0,4.0,9,0,4016
3996,3,0,5,6,0,15.0,0,0,4025
3997,1,0,8,3,0,13.0,7,0,4029
3998,0,0,7,0,0,15.0,8,0,4028
3999,1,0,7,4,0,4.0,3,0,4018
4000,2,0,7,6,0,7.996737263880939,6,0,4021
4001,2,0,5,5,0,11.0,0,0,4024
4002,10,0,9,4,0,14.0,4,0,4033
4003,0,0,4,5,0,10.0,10,0,4032
4004,6,0,3,0,0,1.0,0,1,4016
4005,4,0,9,5,0,6.0,6,0,4035
4006,9,0,2,2,0,2.0,1,1,4024
4007,4,0,4,6,0,12.0,3,0,4036
4008,7,0,1,0,0,3.0,2,1,4023
4009,11,0,3,0,0,4.0,0,1,4029
4010,0,0,5,4,0,12.0,8,0,4039
4011,3,0,4,4,0,10.0,7,0,4039
4012,6,0,2,1,0,4.0,0,1,4027
4013,1,0,7,4,0,4.0,10,0,4039
4014,3,0,9,6,0,15.0,8,0,4055
4015,1,0,9,3,0,5.0,6,0,4039
4016,2,0,9,4,0,4.0,6,0,4041
4017,2,0,7,3,0,7.0,5,0,4041
4018,1,0,0,4,0,8.0,7,0,4038
4019,0,0,3,4,0,5.0,6,0,4037
4020,2,0,0,5,0,14.0,4,0,4045
4021,8,0,3,0,0,0.0,1,1,4035
4022,1,0,8,7,0,13.0,9,0,4060
4023,7,0,4,2,0,2.0,2,1,4042
4024,3,0,6,6,0,13.0,6,0,4058
4025,4,0,5,6,0,7.996737263880939,6,0,4046
4026,4,0,7,7,0,14.0,8,0,4066
4027,10,0,0,2,0,1.0,0,1,4042
4028,5,0,2,2,0,4.0,0,1,4043
4029,2,0,9,5,0,5.0,3,0,4053
4030,2,0,4,6,0,7.0,8,0,4057
4031,6,0,0,1,0,4.0,1,1,4044
4032,1,0,6,5,0,7.0,6,0,4057
4033,10,0,2,0,0,2.0,0,1,4049
4034,10,0,5,6,0,11.0,3,0,4059
